access,addr:city,addr:country,addr:district,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:subdistrict,addr:suburb,addr:unit,admin_level,alcohol,alt_name,alt_name:ar,alt_name:hi,amenity,area,atm,barrier,bench,bicycle,bin,branch,branch:hi,brand,brand:short,brand:wikidata,building,bus,capacity,capital,clothes,clothes:men,cmt,colour,construction,contact:helpline,contact:mobile,contact:phone,country,covered,craft,created_by,crossing,crossing_ref,cuisine,dance:teaching,delivery,denomination,description,diet:vegetarian,diplomatic,disused,disused:amenity,drink:beer,drink:coffee,drink:shake,drink:tea,drink:vodka,drink:wine,ele,email,emergency,entrance,fax,fee,female,fixme,fixme_1,flag:type,food,foot,from,fuel:cng,healthcare,height,highway,historic,horse,indoor_seating,information,internet_access,internet_access:fee,internet_access:ssid,is_capital,is_in,is_in:continent,is_in:country,is_in:country_code,is_in:iso_3166_2,junction,landuse,lat,layer,leisure,level,lon,male,man_made,motor_vehicle,motorcycle:clothes,motorcycle:repair,motorcycle:sales,name,name:ace,name:af,name:am,name:an,name:ang,name:ar,name:bat-smg,name:be,name:be-tarask,name:bg,name:bn,name:bo,name:bpy,name:br,name:bs,name:ca,name:cbk-zam,name:ckb,name:co,name:crh,name:cs,name:cy,name:da,name:de,name:diq,name:dv,name:el,name:en,name:eo,name:es,name:et,name:eu,name:ext,name:fa,name:fi,name:fiu-vro,name:fr,name:fy,name:ga,name:gd,name:gl,name:gv,name:he,name:hi,name:hif,name:hr,name:ht,name:hu,name:hy,name:ia,name:id,name:io,name:is,name:it,name:ja,name:jv,name:ka,name:kk,name:kl,name:kn,name:ko,name:ks,name:ku,name:la,name:lb,name:lij,name:lmo,name:lt,name:lv,name:mg,name:mi,name:mk,name:ml,name:mn,name:mr,name:ms,name:my,name:mzn,name:nah,name:nan,name:ne,name:nl,name:nn,name:no,name:nov,name:oc,name:os,name:pa,name:pam,name:pl,name:pms,name:pnb,name:pt,name:qu,name:ro,name:ru,name:sa,name:sah,name:scn,name:sco,name:si,name:simple,name:sk,name:sl,name:so,name:sq,name:sr,name:sv,name:sw,name:ta,name:te,name:tg,name:th,name:tl,name:tr,name:ug,name:uk,name:ur,name:vi,name:war,name:yi,name:yo,name:yue,name:zh,nationality,natural,network,node_id,note,office,official_name,old_name,opening_hours,operator,operator:type,outdoor_seating,payment:cash,phone,phone2,phone3,place,population,population:date,power,products,public_transport,public_transport:version,railway,ref,religion,removed:public_transport,rooms,route_ref,seats,share_taxi,shelter,shop,short_name,smoking,source,sport,stars,start_date,station,subway,sym,tactile_paving,takeaway,target,theatre:type,to,toilets,toilets:disposal,toilets:wheelchair,tourism,traffic_calming,traffic_signals,train,vending,waste,website,wheelchair,wikidata,wikipedia
,,,,,,,,,,,,,,2,,,نيودلهي,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,country,"National Capital Region, NCR, India",Asia,India,IN,IN-DL,,,28.6141793,,,,77.2022662,,,,,,,New Delhi,New delhi,Nieu-Delhi,ኒው ዴሊ,Nueva Delhi,Nīƿe Delhi,دلهي الجديدة,Naujasės Delės,Нью-Дэлі,Нью-Дэлі,Ню Делхи,নতুন দিল্লি,ནེའུ་དིལ་ལི།,নুৱা দিল্লী,New Delhi,New Delhi,Nova Delhi,Nueva Delhi,نیودلھی,New Delhi,Nyu Deli,Nové Dillí,Delhi Newydd,New Delhi,Neu-Delhi,Delhiyo Newe,ނިއުދިއްލީ,Νέο Δελχί,New Delhi,Nov-Delhio,Nueva Delhi,New Delhi,New Delhi,Nueva Delhi,دهلی نو,New Delhi,New Delhi,New Delhi,Nij Delly,Nua-Deilí,New Delhi,Nova Deli - नई दिल्ली,Delhi Noa,ניו דלהי,नई दिल्ली,New Delhi,New Delhi,Niou Deli,Újdelhi,Նյու Դելի,Nove Delhi,New Delhi,Nova-Delhi,Nýja Delí,Nuova Delhi,ニューデリー,New Delhi,ნიუ-დელი,Нью-Дели,New Delhi,ಹೊಸ ದೆಹಲಿ,뉴델리,نٔو دلھی,Delhiya Nû,Dellium Novum,Nei-Delhi,Neuva Delhi,New Delhi,Naujasis Delis,Ņūdeli,New Delhi,New Delhi,Њу Делхи,ന്യൂ ഡെൽഹി,Шинэ Дели,नवी दिल्ली,New Delhi,နယူးဒေလီမြို့,نو دهلی,Yancuīc Deli,Sin Delhi,नयाँ दिल्ली,New Delhi,New Delhi,New Delhi,Novi Deli,Nòva Delhi,Нью-Дели,ਨਵੀਂ ਦਿੱਲੀ,New Delhi,Nowe Delhi,New Delhi,نئی دلی,Nova Deli,Musuq Dilhi,New Delhi,Нью-Дели,नवदेहली,Саҥа Дели,Nova Delhi,New Delhi,නව දිල්ලිය,New Delhi,Naí Dillí,New Delhi,New Delhi,New Delhi,Њу Делхи,New Delhi,New Delhi,புது தில்லி,క్రొత్త ఢిల్లీ,Ню-Дели,นิวเดลี,Bagong Delhi,Yeni Delhi,Yéngi Déhli,Нью-Делі,نئی دہلی,Tân Delhi,New Delhi,ניי דעלי,New Delhi,新德里,新德里,,,,16173236,,,,,,,,,,,,,city,249998,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q987,en:New Delhi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6298938,,,,77.2194853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249783293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6314103,,,,77.2167604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249783302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6357191,,,,77.2198833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249783316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6128415,,,,77.240186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249791141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6137498,,,,77.2121158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249791204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unmarked,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6130638,,,,77.251085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250075250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,,,,,,,,28.6166789,,,,77.2312989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267075194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6130009,,,,77.2276618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267075196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,traffic_signals,,,,,,,,,,,,,,,,28.6134415,,,,77.2184664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267196276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,,,,,,,,28.6176177,,,,77.2123927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267196343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
